,Make,Ex-Showroom_Price,Displacement,Fuel_Tank_Capacity,Fuel_Type,City_Mileage,Type
330,Audi A8 L 55 Tfsi Quattro,"Rs. 1,56,00,000",2995 cc,82 litres,Petrol,,Automatic
331,Maserati Granturismo Sport,"Rs. 1,72,29,579",4691 cc,86 litres,Petrol,4.6 km/litre,Automatic
332,Maserati Quattroporte Granlusso,"Rs. 1,79,00,000",2987 cc,70 litres,Diesel,5.2 km/litre,Automatic
333,Lexus Lc 500H Coupe,"Rs. 1,96,00,000",3456 cc,82 litres,Hybrid,,Automatic
334, Mercedes-Benz Maybach S650,"Rs. 2,73,08,312",5980 cc,80 litres,Petrol,,Automatic
335, Mercedes-Benz Maybach S560,"Rs. 1,98,90,000",4663 cc,80 litres,Petrol,7.81 km/litre,Automatic
336,Porsche Panamera Turbo,"Rs. 2,12,63,000",3996 cc,90 litres,Petrol,7.1 km/litre,Automatic
337,Porsche Panamera Turbo Executive,"Rs. 2,26,13,000",3996 cc,90 litres,Petrol,7.1 km/litre,Automatic
338,Porsche Panamera Turbo Sport Turismo,"Rs. 2,17,47,000",3996 cc,90 litres,Petrol,7.1 km/litre,Automatic
339,Lexus Lx 450D V8,"Rs. 2,32,90,000",4461 cc,93 litres,Diesel,18 km/litre,Automatic
340, Mercedes-Benz S-Class Cabriolet S500,"Rs. 2,34,91,293",4663 cc,80 litres,Petrol,5.4 km/litre,Automatic
341,Audi R8 V10 Plus,"Rs. 2,72,45,000",5204 cc,75 litres,Petrol,7.8 km/litre,Automatic
342,Lamborghini Urus V8,"Rs. 3,00,00,000",3996 cc,75 litres,Petrol,,Automatic
343,Bentley Continental Gt Coupe,"Rs. 3,37,91,059",5998 cc,90 litres,Petrol,5.3 km/litre,Automatic
344,Ferrari Portofino V8 Convertible,"Rs. 3,50,00,000",3855 cc,92 litres,Petrol,6 km/litre,Automatic
345,Bentley Bentayga W12,"Rs. 4,59,41,557",5950 cc,85 litres,Petrol,"9,6 km/litre",Automatic
346,Bentley Bentayga V8,"Rs. 3,75,42,069",3996 cc,85 litres,Petrol,,Automatic
347,Aston Martin Db 11 V12,"Rs. 4,04,56,503",5198 cc,80 litres,Petrol,6 km/litre,Automatic
348,Ferrari 458 Speciale Coupe,"Rs. 4,25,31,500",4497 cc,86 litres,Petrol,6 km/litre,Automatic
349, Rolls-Royce Ghost Series Ii 6.6,"Rs. 4,67,09,733",6593 cc,82.5 litres,Petrol,10.5 km/litre,Automatic
350, Rolls-Royce Ghost Series Ii Ewb,"Rs. 5,32,47,201",6592 cc,82.5 litres,Petrol,,Automatic
351, Rolls-Royce Wraith Coupe,"Rs. 5,00,25,840",6592 cc,83 litres,Petrol,4.7 km/litre,Automatic
352,Bentley Mulsanne Sedan,"Rs. 5,25,71,294",6752 cc,90 litres,Petrol,6.2 km/litre,Automatic
353, Rolls-Royce Cullinan Suv,"Rs. 6,95,00,000",6750 cc,,Petrol,,Automatic
354, Rolls-Royce Phantom Coupe 6.8 L,"Rs. 7,73,12,661",6749 cc,100 litres,Petrol,10.2 km/litre,Automatic
355,Bugatti Chiron W16,"Rs. 19,21,42,937",7993 cc,,Petrol,,Automatic
356,Bugatti Chiron Sport,"Rs. 21,21,55,397",7993 cc,,Petrol,,Automatic
357,Bajaj Qute (Re60) Qcar,"Rs. 2,63,000",216 cc,,Petrol,,Manual
358,Bajaj Qute (Re60) Qcar Cng,"Rs. 2,83,000",216 cc,,CNG,,Manual
359,Maruti Suzuki Alto Std,"Rs. 2,94,800",796 cc,35 litres,Petrol,,Manual
360,Maruti Suzuki Alto Std (O),"Rs. 2,99,900",796 cc,35 litres,Petrol,,Manual
361,Maruti Suzuki Alto Lxi,"Rs. 3,52,900",796 cc,35 litres,Petrol,,Manual
362,Maruti Suzuki Alto Lxi (O),"Rs. 3,57,200",796 cc,35 litres,Petrol,,Manual
363,Maruti Suzuki Alto Vxi,"Rs. 3,76,100",796 cc,35 litres,Petrol,,Manual
364,Maruti Suzuki Alto Lxi Cng (Cng +,"Rs. 4,05,570",796 cc,35 litres,CNG + Petrol,,Manual
365,Maruti Suzuki Alto Lxi (O) Cng (Cng +,"Rs. 4,09,190",796 cc,35 litres,CNG + Petrol,,Manual
366,Maruti Suzuki Alto Vxi Plus,"Rs. 3,89,600",796 cc,35 litres,Petrol,,Manual
367,Maruti Suzuki S-Presso Std,"Rs. 3,70,500",998 cc,27 litres,Petrol,,Manual
368,Maruti Suzuki S-Presso Std (O),"Rs. 3,76,500",998 cc,27 litres,Petrol,,Manual
369,Maruti Suzuki S-Presso Lxi,"Rs. 4,09,000",998 cc,27 litres,Petrol,,Manual
370,Maruti Suzuki S-Presso Lxi (O),"Rs. 4,15,000",998 cc,27 litres,Petrol,,Manual
371,Maruti Suzuki S-Presso Vxi,"Rs. 4,32,500",998 cc,27 litres,Petrol,,Manual
372,Maruti Suzuki S-Presso Vxi (O),"Rs. 4,38,500",998 cc,27 litres,Petrol,,Manual
373,Maruti Suzuki S-Presso Vxi Ags,"Rs. 4,75,500",998 cc,27 litres,Petrol,,AMT
374,Maruti Suzuki S-Presso Vxi+,"Rs. 4,56,000",998 cc,27 litres,Petrol,,Manual
375,Maruti Suzuki S-Presso Vxi (O) Ags,"Rs. 4,81,500",998 cc,27 litres,Petrol,,AMT
376,Maruti Suzuki S-Presso Vxi+ Ags,"Rs. 4,99,000",998 cc,27 litres,Petrol,,AMT
377,Maruti Suzuki Celerio Lxi,"Rs. 4,26,289",998 cc,35 litres,Petrol,23 km/litre,Manual
378,Maruti Suzuki Celerio Vxi,"Rs. 4,65,138",998 cc,35 litres,Petrol,23 km/litre,Manual
379,Maruti Suzuki Celerio Vxi At,"Rs. 5,08,138",998 cc,35 litres,Petrol,23 km/litre,Automatic
380,Maruti Suzuki Celerio Zxi,"Rs. 4,90,924",998 cc,35 litres,Petrol,23 km/litre,Manual
381,Maruti Suzuki Celerio Zxi (Opt),"Rs. 5,31,279",998 cc,35 litres,Petrol,23 km/litre,Manual
382,Maruti Suzuki Celerio Vxi Cng Mt,"Rs. 5,30,000",998 cc,35 litres,CNG,,Manual
383,Maruti Suzuki Celerio Zxi Ags,"Rs. 5,33,924",998 cc,35 litres,Petrol,23 km/litre,Automatic
384,Maruti Suzuki Celerio Lxi Mt (O),"Rs. 4,34,659",998 cc,35 litres,Petrol,23 km/litre,Manual
385,Maruti Suzuki Celerio Vxi (O) Mt,"Rs. 4,72,257",998 cc,35 litres,Petrol,23 km/litre,Manual
386,Maruti Suzuki Celerio Vxi (O) Ags,"Rs. 5,15,257",998 cc,35 litres,Petrol,23 km/litre,Automatic
387,Maruti Suzuki Celerio Zxi (O) Ags,"Rs. 5,43,279",998 cc,35 litres,Petrol,23 km/litre,Automatic
388,Hyundai Grand I10 Prime Era T Crdi,"Rs. 5,51,530",1120 cc,43 litres,Diesel,24 km/litre,Manual
389,Hyundai Grand I10 Prime Era T+ Crdi,"Rs. 5,68,930",1120 cc,43 litres,Diesel,24 km/litre,Manual
390,Hyundai Grand I10 Prime Era T Vtvt,"Rs. 4,60,369",1197 cc,43 litres,Petrol,18.9 km/litre,Manual
391,Hyundai Grand I10 Prime Era T+ Vtvt,"Rs. 4,77,511",1197 cc,43 litres,Petrol,18.9 km/litre,Manual
392,Hyundai Grand I10 Prime Era T+ Cng Vtvt,"Rs. 5,45,946",1197 cc,43 litres,CNG,,Manual
393,Hyundai Grand I10 Prime Era T Cng Vtvt,"Rs. 5,28,804",1197 cc,43 litres,CNG,,Manual
394,Mahindra Kuv100 Nxt K2 6Str,"Rs. 4,88,194",1198 cc,35 litres,Petrol,15.5 km/litre,Manual
395,Mahindra Kuv100 Nxt K2+ 6Str,"Rs. 5,32,184",1198 cc,35 litres,Petrol,15.5 km/litre,Manual
396,Mahindra Kuv100 Nxt K2 D 6Str,"Rs. 5,90,798",1198 cc,35 litres,Diesel,22.25 km/litre,Manual
397,Mahindra Kuv100 Nxt K2+ D 6Str,"Rs. 6,19,243",1198 cc,35 litres,Diesel,22.25 km/litre,Manual
398,Mahindra Kuv100 Nxt K4+ D 6Str,"Rs. 6,67,273",1198 cc,35 litres,Diesel,22.25 km/litre,Manual
399,Mahindra Kuv100 Nxt K4+ 6Str,"Rs. 5,79,645",1198 cc,35 litres,Petrol,15.5 km/litre,Manual
400,Mahindra Kuv100 Nxt K6+ 6Str,"Rs. 6,31,144",1198 cc,35 litres,Petrol,15.5 km/litre,Manual
401,Mahindra Kuv100 Nxt K6+ D 6Str,"Rs. 7,54,548",1198 cc,35 litres,Diesel,22.25 km/litre,Manual
402,Mahindra Kuv100 Nxt K8 6Str,"Rs. 6,93,550",1198 cc,35 litres,Petrol,15.5 km/litre,Manual
403,Mahindra Kuv100 Nxt K8 D 6Str,"Rs. 7,87,304",1198 cc,35 litres,Diesel,22.25 km/litre,Manual
404,Mahindra Kuv100 Nxt K8 6 Str Dual Tone,"Rs. 7,01,045",1198 cc,35 litres,Petrol,15.5 km/litre,Manual
405,Mahindra Kuv100 Nxt K8 D 6 Str Dual Tone,"Rs. 7,94,800",1198 cc,35 litres,Diesel,22.25 km/litre,Manual
406,Mahindra Kuv100 Nxt K4+ 5Str,"Rs. 5,73,250",1198 cc,35 litres,Petrol,15.5 km/litre,Manual
407,Mahindra Kuv100 Nxt K6+ 5Str,"Rs. 6,31,146",1198 cc,35 litres,Petrol,15.5 km/litre,Manual
408,Mahindra Kuv100 Nxt K8 5Str,"Rs. 6,87,175",1198 cc,35 litres,Petrol,15.5 km/litre,Manual
409,Mahindra Kuv100 Nxt K4+ D 5Str,"Rs. 6,60,832",1198 cc,35 litres,Diesel,22.25 km/litre,Manual
410,Mahindra Kuv100 Nxt K6+ D 5Str,"Rs. 7,48,128",1198 cc,35 litres,Diesel,22.25 km/litre,Manual
411,Mahindra Kuv100 Nxt K8 D 5Str,"Rs. 7,80,884",1198 cc,35 litres,Diesel,22.25 km/litre,Manual
412,Mahindra Kuv100 Nxt K2 D 5Str Taxi,"Rs. 5,50,155",1198 cc,35 litres,Diesel,22.25 km/litre,Manual
413,Mahindra Kuv100 Nxt K2 D 6Str Taxi,"Rs. 5,59,741",1198 cc,35 litres,Diesel,22.25 km/litre,Manual
414,Mahindra Kuv100 Nxt K2 5Str Cng Taxi,"Rs. 5,24,312",1198 cc,35 litres,Petrol,15.5 km/litre,Manual
415,Mahindra Kuv100 Nxt K2 6Str Cng Taxi,"Rs. 5,42,913",1198 cc,35 litres,Petrol,15.5 km/litre,Manual
416,Maruti Suzuki Swift Lxi,"Rs. 5,19,000",1197 cc,37 litres,Petrol,12.6 km/litre,Manual
417,Maruti Suzuki Swift Vxi,"Rs. 6,19,000",1197 cc,37 litres,Petrol,,Manual
418,Maruti Suzuki Swift Vxi Amt,"Rs. 6,66,000",1197 cc,37 litres,Petrol,,Automatic
419,Maruti Suzuki Swift Zxi,"Rs. 6,78,000",1197 cc,37 litres,Petrol,,Manual
420,Maruti Suzuki Swift Zxi Amt,"Rs. 7,25,000",1197 cc,37 litres,Petrol,,Automatic
421,Maruti Suzuki Swift Zxi Plus,"Rs. 7,58,000",1197 cc,37 litres,Petrol,,Manual
422,Maruti Suzuki Swift Ldi,"Rs. 5,99,000",1248 cc,37 litres,Diesel,,Manual
