,Make,Ex-Showroom_Price,Displacement,Fuel_Tank_Capacity,Fuel_Type,City_Mileage,Type
509,Tata Nexon Xz Plus (O) Dual Tone,"Rs. 10,60,000",1198 cc,44 litres,Petrol,,Automatic
510,Tata Nexon Xma,"Rs. 8,30,000",1198 cc,44 litres,Petrol,,Automatic
511,Tata Nexon Xza Plus,"Rs. 10,10,000",1198 cc,44 litres,Petrol,,Automatic
512,Tata Nexon Xza Plus Dual Tone,"Rs. 10,30,000",1198 cc,44 litres,Petrol,,Automatic
513,Tata Nexon Xza Plus (O),"Rs. 11,00,000",1198 cc,44 litres,Petrol,,Automatic
514,Tata Nexon Xza Plus (O) Dual Tone,"Rs. 11,20,000",1198 cc,44 litres,Petrol,,Automatic
515,Tata Nexon Xe Diesel,"Rs. 8,45,000",1497 cc,44 litres,Diesel,,Manual
516,Tata Nexon Xm Diesel,"Rs. 9,20,000",1497 cc,44 litres,Diesel,,Manual
517,Tata Nexon Xz Diesel,"Rs. 10,20,000",1497 cc,44 litres,Diesel,,Manual
518,Tata Nexon Xz Plus Diesel,"Rs. 11,00,000",1497 cc,44 litres,Diesel,,Manual
519,Tata Nexon Xz Plus Diesel Dual Tone,"Rs. 11,20,000",1497 cc,44 litres,Diesel,,Manual
520,Tata Nexon Xz Plus (O) Diesel,"Rs. 11,90,000",1497 cc,44 litres,Diesel,,Manual
521,Tata Nexon Xz Plus (O) Diesel Dual Tone,"Rs. 12,10,000",1497 cc,44 litres,Diesel,,Manual
522,Tata Nexon Xma Diesel,"Rs. 9,80,000",1497 cc,44 litres,Diesel,,Automatic
523,Tata Nexon Xza Plus Diesel,"Rs. 11,60,000",1497 cc,44 litres,Diesel,,Automatic
524,Tata Nexon Xza Plus Diesel Dual Tone,"Rs. 11,80,000",1497 cc,44 litres,Diesel,,Automatic
525,Tata Nexon Xza Plus (O) Diesel,"Rs. 12,50,000",1497 cc,44 litres,Diesel,,Automatic
526,Tata Nexon Xza Plus (O) Diesel Dual Tone,"Rs. 12,70,000",1497 cc,44 litres,Diesel,,Automatic
527,Fiat Linea Active Fire,"Rs. 7,15,860",1368 cc,45 litres,Petrol,"11,3 km/litre",Manual
528,Fiat Linea Active Multijet,"Rs. 8,62,175",1248 cc,45 litres,Diesel,17.2 km/litre,Manual
529,Fiat Linea Dynamic Multijet,"Rs. 9,32,025",1248 cc,45 litres,Diesel,17.2 km/litre,Manual
530,Fiat Linea Emotion Multijet,"Rs. 9,91,434",1248 cc,45 litres,Diesel,17.2 km/litre,Manual
531,Fiat Linea T-Jet Emotion,"Rs. 9,97,763",1368 cc,45 litres,Petrol,"11,3 km/litre",Manual
532,Mahindra Bolero Power Plus Zlx,"Rs. 8,86,398",1493 cc,60 litres,Diesel,12.4 km/litre,Manual
533,Mahindra Bolero Power Plus Slx,"Rs. 8,51,302",1493 cc,60 litres,Diesel,12.4 km/litre,Manual
534,Mahindra Bolero Power Plus Sle,"Rs. 7,85,656",1493 cc,60 litres,Diesel,12.4 km/litre,Manual
535,Mahindra Bolero Power Plus Lx,"Rs. 7,49,192",1493 cc,60 litres,Diesel,12.4 km/litre,Manual
536,Mahindra Bolero Power Plus Plus Ac Bs4 Ps,"Rs. 8,59,497",2523 cc,60 litres,Diesel,9.4 km/litre,Manual
537,Mahindra Bolero Power Plus Plus Non Ac Bs4 Ps,"Rs. 8,19,117",2523 cc,60 litres,Diesel,12.4 km/litre,Manual
538,Maruti Suzuki Vitara Brezza Ldi,"Rs. 7,62,742",1248 cc,48 litres,Diesel,20 km/litre,Manual
539,Maruti Suzuki Vitara Brezza Vdi,"Rs. 8,14,742",1248 cc,48 litres,Diesel,20 km/litre,Manual
540,Maruti Suzuki Vitara Brezza Zdi,"Rs. 8,92,243",1248 cc,48 litres,Diesel,20 km/litre,Manual
541,Maruti Suzuki Vitara Brezza Zdi+,"Rs. 9,87,743",1248 cc,48 litres,Diesel,20 km/litre,Manual
542,Maruti Suzuki Vitara Brezza Zdi+ Dual Tone,"Rs. 10,03,552",1248 cc,48 litres,Diesel,20 km/litre,Manual
543,Maruti Suzuki Vitara Brezza Zdi+ Ags,"Rs. 10,37,742",1248 cc,48 litres,Diesel,20 km/litre,Manual
544,Maruti Suzuki Vitara Brezza Vdi Ags,"Rs. 8,64,742",1248 cc,48 litres,Diesel,20 km/litre,Automatic
545,Maruti Suzuki Vitara Brezza Zdi Ags,"Rs. 9,42,243",1248 cc,48 litres,Diesel,20 km/litre,Automatic
546,Maruti Suzuki Vitara Brezza Zdi+ Dual Tone Ags,"Rs. 10,59,742",1248 cc,48 litres,Diesel,20 km/litre,Automatic
547,Hyundai I20 Active 1.2 S,"Rs. 7,74,035",1197 cc,40 litres,Petrol,15 km/litre,Manual
548,Hyundai I20 Active 1.2 Sx,"Rs. 8,58,536",1197 cc,40 litres,Petrol,15 km/litre,Manual
549,Hyundai I20 Active 1.2 Sx Dual Tone,"Rs. 8,82,298",1197 cc,40 litres,Petrol,15 km/litre,Manual
550,Hyundai I20 Active 1.4 Sx,"Rs. 9,93,393",1396 cc,40 litres,Diesel,21.19 km/litre,Manual
551,Ford Ecosport 1.5L Ti-Vct Ambiente,"Rs. 7,91,000",1497 cc,52 litres,Petrol,,Manual
552,Ford Ecosport 1.5L Ti-Vct Trend,"Rs. 8,71,000",1497 cc,52 litres,Petrol,,Manual
553,Ford Ecosport 1.5L Ti-Vct Titanium,"Rs. 9,50,000",1497 cc,52 litres,Petrol,,Manual
554,Ford Ecosport 1.5L Ti-Vct Titanium Plus At,"Rs. 11,30,000",1497 cc,52 litres,Petrol,,Automatic
555,Ford Ecosport 1.5L Tdci Ambiente,"Rs. 8,41,000",1498 cc,52 litres,Diesel,,Manual
556,Ford Ecosport 1.5L Tdci Trend,"Rs. 9,21,000",1498 cc,52 litres,Diesel,,Manual
557,Ford Ecosport 1.5L Tdci Titanium,"Rs. 9,99,900",1498 cc,52 litres,Diesel,,Manual
558,Ford Ecosport 1.5L Tdci Titanium Plus,"Rs. 10,90,000",1498 cc,52 litres,Diesel,,Manual
559,Ford Ecosport 1.5L Ti-Vct Titanium Plus,"Rs. 9,99,900",1497 cc,52 litres,Petrol,,Manual
560,Ford Ecosport 1.5L Tdci Titanium S,"Rs. 11,45,000",1498 cc,52 litres,Diesel,,Manual
561,Ford Ecosport 1.5L Ti-Vct Thunder Edition,"Rs. 9,99,900",1497 cc,52 litres,Petrol,,Manual
562,Ford Ecosport 1.5L Tdci Thunder Edition,"Rs. 10,90,000",1498 cc,52 litres,Diesel,,Manual
563,Renault Duster Rxe Petrol,"Rs. 7,99,990",1498 cc,50 litres,Petrol,10.2 km/litre,Manual
564,Renault Duster Rxs Petrol,"Rs. 9,19,990",1498 cc,50 litres,Petrol,10 km/litre,Manual
565,Renault Duster Rxs (Opt) Cvt,"Rs. 9,99,990",1498 cc,50 litres,Petrol,10 km/litre,CVT
566,Renault Duster 85 Ps Rxe Mt Diesel,"Rs. 9,29,990",1461 cc,50 litres,Diesel,16 km/litre,Manual
567,Renault Duster 85 Ps Rxs Mt Diesel,"Rs. 9,99,990",1461 cc,50 litres,Diesel,16 km/litre,Manual
568,Renault Duster 110 Ps Rxs Mt Diesel,"Rs. 11,19,990",1461 cc,50 litres,Diesel,16 km/litre,Automatic
569,Renault Duster 110 Ps Rxz Mt Diesel,"Rs. 12,09,990",1461 cc,50 litres,Diesel,16 km/litre,Automatic
570,Renault Duster 110 Ps Rxz Amt Diesel,"Rs. 12,49,990",1461 cc,50 litres,Diesel,16 km/litre,Automatic
571,Renault Duster 110 Ps Rxs Awd (Opt) Diesel,"Rs. 12,49,990",1461 cc,50 litres,Diesel,16 km/litre,Automatic
572,Hyundai Verna 1.6 Vtvt Sx,"Rs. 9,99,900",1591 cc,45 litres,Petrol,,Manual
573,Hyundai Verna 1.6 Crdi Sx,"Rs. 11,72,544",1582 cc,45 litres,Diesel,19.9 km/litre,Manual
574,Hyundai Verna 1.6 Crdi Sx (O),"Rs. 13,01,881",1582 cc,45 litres,Diesel,19.9 km/litre,Manual
575,Hyundai Verna 1.6 Vtvt Sx (O),"Rs. 11,72,999",1591 cc,45 litres,Petrol,,Manual
576,Hyundai Verna 1.6 Crdi Sx Plus At,"Rs. 13,28,545",1582 cc,45 litres,Diesel,14 km/litre,Automatic
577,Hyundai Verna 1.6 Vtvt Sx(O) At,"Rs. 12,87,999",1591 cc,45 litres,Petrol,,Automatic
578,Hyundai Verna 1.4 Vtvt Ex,"Rs. 9,33,182",1396 cc,45 litres,Petrol,,Manual
579,Hyundai Verna 1.4 Vtvt E,"Rs. 8,17,867",1396 cc,45 litres,Petrol,,Manual
580,Hyundai Verna 1.6 Vtvt Sx (O) Anniversary Edition,"Rs. 11,78,894",1591 cc,45 litres,Petrol,,Manual
581,Hyundai Verna 1.6 Vtvt Sx Plus At,"Rs. 11,62,875",1591 cc,45 litres,Petrol,,Automatic
582,Hyundai Verna 1.6 Crdi Sx(O) At,"Rs. 14,07,871",1582 cc,45 litres,Diesel,14 km/litre,Automatic
583,Hyundai Verna 1.4 Crdi E,"Rs. 9,42,867",1396 cc,45 litres,Diesel,,Manual
584,Hyundai Verna 1.4 Crdi Ex,"Rs. 9,99,900",1396 cc,45 litres,Diesel,,Manual
585,Mahindra Xuv300 1.2 W4,"Rs. 8,30,127",1197 cc,42 litres,Petrol,,Manual
586,Mahindra Xuv300 1.2 W6,"Rs. 9,15,128",1197 cc,42 litres,Petrol,,Manual
587,Mahindra Xuv300 1.2 W8,"Rs. 10,60,129",1197 cc,42 litres,Petrol,,Manual
588,Mahindra Xuv300 1.2 W8(O),"Rs. 11,84,129",1197 cc,42 litres,Petrol,,Manual
589,Mahindra Xuv300 1.5 W4,"Rs. 8,69,131",1497 cc,42 litres,Diesel,,Manual
590,Mahindra Xuv300 1.5 W6,"Rs. 9,50,131",1497 cc,42 litres,Diesel,,Manual
591,Mahindra Xuv300 1.5 W8,"Rs. 10,95,129",1497 cc,42 litres,Diesel,,Manual
592,Mahindra Xuv300 1.5 W8 (O),"Rs. 12,14,130",1497 cc,42 litres,Diesel,,Manual
593,Mahindra Xuv300 1.5 W8 Amt,"Rs. 11,49,800",1497 cc,42 litres,Diesel,,Automatic
594,Mahindra Xuv300 1.5 W8 (O) Amt,"Rs. 12,69,131",1497 cc,42 litres,Diesel,,Automatic
595,Mahindra Xuv300 1.5 W6 Amt,"Rs. 9,99,000",1497 cc,42 litres,Diesel,,AMT
596,Renault Lodgy 85 Ps Std,"Rs. 8,63,299",1461 cc,50 litres,Diesel,21.04 km/litre,Manual
597,Renault Lodgy 85 Ps Rxe 8 Seater,"Rs. 9,64,199",1461 cc,50 litres,Diesel,21.04 km/litre,Manual
598,Renault Lodgy Stepway Rxz 110Ps 8-Seater,"Rs. 12,11,599",1461 cc,50 litres,Diesel,21.04 km/litre,Manual
599,Renault Lodgy Stepway Rxz 110Ps 7-Seater,"Rs. 12,11,599",1461 cc,50 litres,Diesel,21.04 km/litre,Manual
600,Renault Lodgy Stepway Rxl 85Ps 8-Seater,"Rs. 10,53,899",1461 cc,50 litres,Diesel,21.04 km/litre,Manual
601,Renault Lodgy Stepway Rxz 85Ps 8-Seater,"Rs. 11,30,099",1461 cc,50 litres,Diesel,21.04 km/litre,Manual
602,Renault Lodgy 85 Ps Rxe 7 Seater,"Rs. 9,64,199",1461 cc,50 litres,Diesel,21.04 km/litre,Manual
603,Volkswagen Vento Trendline 1.6 (P),"Rs. 8,76,500",1598 cc,55 litres,Petrol,12.1 km/litre,Manual
604,Volkswagen Vento Highline 1.6 (P),"Rs. 9,99,900",1598 cc,55 litres,Petrol,,Manual
605,Volkswagen Vento Comfortline 1.6 (P),"Rs. 9,99,900",1598 cc,55 litres,Petrol,,Manual
606,Volkswagen Vento Highline 1.2 (P) Dsg,"Rs. 11,97,500",1197 cc,55 litres,Petrol,,Automatic
607,Volkswagen Vento Highline Plus 1.2 (P) Dsg,"Rs. 14,49,500",1197 cc,55 litres,Petrol,,Automatic
608,Volkswagen Vento Trendline 1.5 (D),"Rs. 9,58,500",1498 cc,55 litres,Diesel,,Manual
609,Volkswagen Vento Comfortline 1.5 (D),"Rs. 9,99,900",1498 cc,55 litres,Diesel,,Manual
610,Volkswagen Vento Highline 1.5 (D),"Rs. 12,10,500",1498 cc,55 litres,Diesel,,Manual
611,Volkswagen Vento Highline 1.5 (D) Dsg,"Rs. 13,36,500",1498 cc,55 litres,Diesel,,Automatic
612,Volkswagen Vento Highline Plus 1.5 (D) Dsg,"Rs. 13,17,500",1498 cc,55 litres,Diesel,,Automatic
613,Volkswagen Vento Gt Line (D),"Rs. 14,49,500",1498 cc,45 litres,Diesel,19 km/litre,Manual
614,Volkswagen Vento Gt Line (P) Dsg,"Rs. 13,17,500",1197 cc,45 litres,Petrol,17 km/litre,Automatic
615,Mahindra E2O Plus P4,"Rs. 8,81,425",,,Electric,80 km/litre,Automatic
616,Mahindra E2O Plus P6,"Rs. 9,57,177",,,Electric,80 km/litre,Automatic
617,Tata Tigor Ev Xm+,"Rs. 9,60,868",,35 litres,Electric,,Automatic
618,Tata Tigor Ev Xt+,"Rs. 9,75,868",,35 litres,Electric,,Automatic
619,Tata Tigor Ev Xe+,"Rs. 9,44,175",,35 litres,Electric,,Automatic
620,Honda Brv E Petrol,"Rs. 9,52,900",1497 cc,42 litres,Petrol,12 km/litre,Manual
621,Honda Brv S Petrol,"Rs. 10,52,900",1497 cc,42 litres,Petrol,12 km/litre,Manual
622,Honda Brv V Petrol,"Rs. 11,67,900",1497 cc,42 litres,Petrol,12 km/litre,Manual
623,Honda Brv Vx Petrol,"Rs. 12,71,900",1497 cc,42 litres,Petrol,12 km/litre,Manual
624,Honda Brv V Cvt Petrol,"Rs. 12,85,900",1497 cc,42 litres,Petrol,12 km/litre,Automatic
625,Honda Brv S Diesel,"Rs. 11,87,900",1498 cc,42 litres,Diesel,16.2 km/litre,Manual
626,Honda Brv V Diesel,"Rs. 12,73,900",1498 cc,42 litres,Diesel,16.2 km/litre,Manual
627,Honda Brv Vx Diesel,"Rs. 13,82,900",1498 cc,42 litres,Diesel,16.2 km/litre,Manual
628,Mahindra Thar Crde,"Rs. 9,59,860",2498 cc,60 litres,Diesel,,Manual
629,Mahindra Thar 700 Special Edition,"Rs. 9,99,148",2498 cc,60 litres,Diesel,,Manual
630,Mahindra Thar Crde Abs,"Rs. 9,74,860",2498 cc,60 litres,Diesel,,Manual
631,Force Gurkha Xpedition 5 Door,"Rs. 9,99,000",2596 cc,63 litres,Diesel,14 km/litre,Manual
632,Force Gurkha Xplorer 3 Door,"Rs. 10,75,000",2596 cc,63 litres,Diesel,14 km/litre,Manual
633,Force Gurkha Xtreme,"Rs. 12,99,000",2149 cc,63 litres,Diesel,,Manual
634,Force Gurkha Xtreme Abs,"Rs. 13,30,000",2149 cc,63 litres,Diesel,,Manual
635,Force Gurkha Xpedition 3 Door,"Rs. 9,75,000",2596 cc,63 litres,Diesel,14 km/litre,Manual
636,Force Gurkha Xplorer 5 Door,"Rs. 12,25,000",2596 cc,63 litres,Diesel,14 km/litre,Manual
637,Maruti Suzuki Xl6 Zeta Mt,"Rs. 9,84,689",1462 cc,45 litres,Petrol,,Manual
638,Maruti Suzuki Xl6 Alpha Mt,"Rs. 10,41,189",1462 cc,45 litres,Petrol,,Manual
639,Maruti Suzuki Xl6 Zeta At,"Rs. 10,94,689",1462 cc,45 litres,Petrol,,Automatic
640,Maruti Suzuki Xl6 Alpha At,"Rs. 11,51,189",1462 cc,45 litres,Petrol,,Automatic
641,Fiat Abarth Avventura 1.4 T-Jet,"Rs. 9,89,219",1368 cc,,Petrol,17 km/litre,Manual
642,Mahindra Tuv300 Plus P4,"Rs. 9,92,748",2179 cc,60 litres,Diesel,18.49 km/litre,Manual
643,Mahindra Tuv300 Plus P6,"Rs. 10,29,650",2179 cc,60 litres,Diesel,18.49 km/litre,Manual
644,Mahindra Tuv300 Plus P8,"Rs. 11,42,157",2179 cc,60 litres,Diesel,18.49 km/litre,Manual
645,Mahindra Marazzo M2 7 Str,"Rs. 9,99,900",1497 cc,45 litres,Diesel,,Manual
646,Mahindra Marazzo M4 7 Str,"Rs. 11,56,471",1497 cc,45 litres,Diesel,,Manual
647,Mahindra Marazzo M6 7 Str,"Rs. 13,08,592",1497 cc,45 litres,Diesel,,Manual
648,Mahindra Marazzo M8 7 Str,"Rs. 14,68,440",1497 cc,45 litres,Diesel,,Manual
649,Mahindra Marazzo M2 8 Str,"Rs. 9,99,900",1497 cc,45 litres,Diesel,,Manual
650,Mahindra Marazzo M4 8 Str,"Rs. 11,64,569",1497 cc,45 litres,Diesel,,Manual
651,Mahindra Marazzo M6 8 Str,"Rs. 13,16,690",1497 cc,45 litres,Diesel,,Manual
652,Mahindra Marazzo M8 8 Str,"Rs. 14,76,538",1497 cc,45 litres,Diesel,,Manual
653,Mahindra Scorpio S3 2Wd,"Rs. 9,99,994",2523 cc,60 litres,Diesel,11.5 km/litre,Manual
654,Mahindra Scorpio 4Wd Getaway,"Rs. 12,36,258",2179 cc,80 litres,Diesel,8.1 km/litre,Manual
655,Mahindra Scorpio 2Wd Getaway,"Rs. 11,23,158",2179 cc,80 litres,Diesel,9.4 km/litre,Manual
656,Mahindra Scorpio S5 2Wd,"Rs. 12,20,030",2179 cc,60 litres,Diesel,11.5 km/litre,Manual
657,Mahindra Scorpio S7 120 2Wd,"Rs. 13,30,006",2179 cc,60 litres,Diesel,11.5 km/litre,Manual
658,Mahindra Scorpio S7 140 2Wd,"Rs. 13,60,668",2179 cc,60 litres,Diesel,11.5 km/litre,Manual
659,Mahindra Scorpio S11 2Wd,"Rs. 15,40,081",2179 cc,60 litres,Diesel,11.5 km/litre,Manual
660,Mahindra Scorpio S11 4Wd,"Rs. 16,63,054",2179 cc,60 litres,Diesel,11.5 km/litre,Manual
661,Mahindra Scorpio S9 2Wd,"Rs. 14,23,710",2179 cc,60 litres,Diesel,11.5 km/litre,Manual
662,Skoda Monte Carlo Monte Carlo 1.5 Tdi At,"Rs. 14,25,599",1498 cc,55 litres,Diesel,18 km/litre,Automatic
663,Skoda Monte Carlo Monte Carlo 1.6 Mpi At,"Rs. 12,69,599",1598 cc,55 litres,Petrol,12 km/litre,Automatic
664,Skoda Monte Carlo Monte Carlo 1.5 Tdi Mt,"Rs. 12,99,599",1498 cc,55 litres,Diesel,18 km/litre,Manual
665,Skoda Monte Carlo Monte Carlo 1.6 Mpi Mt,"Rs. 11,39,599",1598 cc,55 litres,Petrol,12 km/litre,Manual
666,Mahindra Xuv500 G At,"Rs. 16,10,180",2179 cc,70 litres,Petrol,,Automatic
667,Mahindra Xuv500 W7,"Rs. 14,18,313",2179 cc,70 litres,Diesel,16 km/litre,Manual
668,Mahindra Xuv500 W7 At,"Rs. 15,39,488",2179 cc,70 litres,Diesel,16 km/litre,Automatic
669,Mahindra Xuv500 W9,"Rs. 15,88,943",2179 cc,70 litres,Diesel,16 km/litre,Manual
670,Mahindra Xuv500 W9 At,"Rs. 17,10,118",2179 cc,70 litres,Diesel,16 km/litre,Automatic
671,Mahindra Xuv500 W11,"Rs. 17,16,319",2179 cc,70 litres,Diesel,16 km/litre,Manual
672,Mahindra Xuv500 W11 At,"Rs. 18,37,586",2179 cc,70 litres,Diesel,16 km/litre,Automatic
673,Mahindra Xuv500 W11 (O),"Rs. 17,41,319",2179 cc,70 litres,Diesel,16 km/litre,Manual
674,Mahindra Xuv500 W11 (O) At,"Rs. 18,62,586",2179 cc,70 litres,Diesel,16 km/litre,Automatic
675,Mahindra Xuv500 G At,"Rs. 16,10,180",2179 cc,70 litres,Petrol,,Automatic
676,Mahindra Xuv500 W7,"Rs. 14,18,313",2179 cc,70 litres,Diesel,16 km/litre,Manual
677,Mahindra Xuv500 W7 At,"Rs. 15,39,488",2179 cc,70 litres,Diesel,16 km/litre,Automatic
678,Mahindra Xuv500 W9,"Rs. 15,88,943",2179 cc,70 litres,Diesel,16 km/litre,Manual
679,Mahindra Xuv500 W9 At,"Rs. 17,10,118",2179 cc,70 litres,Diesel,16 km/litre,Automatic
680,Mahindra Xuv500 W11,"Rs. 17,16,319",2179 cc,70 litres,Diesel,16 km/litre,Manual
681,Mahindra Xuv500 W11 At,"Rs. 18,37,586",2179 cc,70 litres,Diesel,16 km/litre,Automatic
682,Mahindra Xuv500 W11 (O),"Rs. 17,41,319",2179 cc,70 litres,Diesel,16 km/litre,Manual
683,Mahindra Xuv500 W11 (O) At,"Rs. 18,62,586",2179 cc,70 litres,Diesel,16 km/litre,Automatic
684,Mahindra Xuv500 W11 (O) Awd,"Rs. 18,52,488",2179 cc,70 litres,Diesel,16 km/litre,Manual
685,Mahindra Xuv500 W11 (O) Awd At,"Rs. 19,73,664",2179 cc,70 litres,Diesel,16 km/litre,Automatic
686,Mahindra Xuv500 W3,"Rs. 12,30,924",2179 cc,70 litres,Diesel,16 km/litre,Manual
687,Mahindra E Verito D4,"Rs. 12,93,214",72 cc,,Electric,110 km/litre,Automatic
688,Mahindra E Verito D2,"Rs. 12,67,208",72 cc,,Electric,110 km/litre,Automatic
689,Mahindra E Verito D6,"Rs. 13,03,241",72 cc,,Electric,110 km/litre,Automatic
690,Tata Hexa Xm Plus 4X2,"Rs. 16,39,374",2179 cc,60 litres,Diesel,14 km/litre,Manual
691,Tata Hexa Xt 4X4,"Rs. 19,29,417",2179 cc,60 litres,Diesel,14 km/litre,Manual
692,Tata Hexa Xta 4X2,"Rs. 19,12,593",2179 cc,60 litres,Diesel,14 km/litre,Automatic
693,Tata Hexa Xt 4X2,"Rs. 17,96,458",2179 cc,,Diesel,14 km/litre,Manual
694,Tata Hexa Xe 4X2,"Rs. 13,71,864",2179 cc,60 litres,Diesel,14 km/litre,Manual
695,Tata Hexa Xm 4X2,"Rs. 15,31,377",2179 cc,60 litres,Diesel,14 km/litre,Manual
696,Tata Hexa Xma 4X2,"Rs. 16,55,587",2179 cc,,Diesel,14 km/litre,Automatic
697,Toyota Innova Crysta 2.4 Gx 7 Str,"Rs. 16,05,000",2393 cc,55 litres,Diesel,12 km/litre,Manual
698,Toyota Innova Crysta 2.4 Vx 7 Str,"Rs. 19,27,000",2393 cc,55 litres,Diesel,12 km/litre,Manual
699,Toyota Innova Crysta 2.4 Gx 8 Str,"Rs. 16,10,000",2393 cc,55 litres,Diesel,12 km/litre,Manual
700,Toyota Innova Crysta 2.4 Vx 8 Str,"Rs. 19,32,000",2393 cc,55 litres,Diesel,12 km/litre,Manual
701,Toyota Innova Crysta 2.4 Zx 7 Str,"Rs. 21,13,000",2393 cc,55 litres,Diesel,12 km/litre,Manual
702,Toyota Innova Crysta 2.7 Gx At 8 Str,"Rs. 16,20,000",2694 cc,55 litres,Petrol,11.2 km/litre,Automatic
703,Toyota Innova Crysta 2.7 Gx At 7 Str,"Rs. 16,15,000",2694 cc,55 litres,Petrol,11.2 km/litre,Automatic
704,Toyota Innova Crysta 2.7 Zx At 7 Str,"Rs. 21,03,000",2393 cc,55 litres,Petrol,11.2 km/litre,Automatic
705,Toyota Innova Crysta 2.7 Vx 7 Str,"Rs. 18,07,000",2393 cc,55 litres,Petrol,11.2 km/litre,Manual
706,Toyota Innova Crysta 2.7 Gx Mt 7 Str,"Rs. 14,93,000",2755 cc,55 litres,Petrol,11.2 km/litre,Manual
707,Toyota Innova Crysta 2.7 Gx Mt 8 Str,"Rs. 14,98,000",2755 cc,55 litres,Petrol,11.2 km/litre,Manual
708,Toyota Innova Crysta Touring Sport 2.4 Vx 7 Str,"Rs. 20,97,000",2393 cc,55 litres,Diesel,12 km/litre,Manual
709,Toyota Innova Crysta Touring Sport 2.7 Vx 7 Str,"Rs. 18,92,000",2393 cc,55 litres,Petrol,11.2 km/litre,Manual
710,Toyota Innova Crysta Touring Sport 2.7 Zx At 7 Str,"Rs. 21,71,000",2694 cc,55 litres,Petrol,11.2 km/litre,Automatic
711,Toyota Innova Crysta 2.4 G Plus 7 Str,"Rs. 15,92,000",2393 cc,55 litres,Diesel,12 km/litre,Manual
712,Toyota Innova Crysta 2.4 G Plus 8 Str,"Rs. 15,87,000",2393 cc,55 litres,Diesel,12 km/litre,Manual
713,Jeep Compass 1.4 Limited At,"Rs. 19,96,000",1368 cc,60 litres,Petrol,,Automatic
714,Jeep Compass 1.4 Sport,"Rs. 15,60,000",1368 cc,60 litres,Petrol,,Manual
715,Jeep Compass 1.4 Limited (O) At,"Rs. 20,55,000",1368 cc,60 litres,Petrol,,Automatic
716,Jeep Compass 2.0 Sport,"Rs. 16,61,000",1956 cc,60 litres,Diesel,,Manual
717,Jeep Compass 2.0 Longitude,"Rs. 18,03,000",1956 cc,60 litres,Diesel,,Manual
718,Jeep Compass 2.0 Longitude (O),"Rs. 18,88,000",1956 cc,60 litres,Diesel,,Manual
719,Jeep Compass 2.0 Limited,"Rs. 19,73,000",1956 cc,60 litres,Diesel,,Manual
720,Jeep Compass 2.0 Limited (O),"Rs. 20,22,000",1956 cc,60 litres,Diesel,,Manual
721,Jeep Compass 2.0 Limited 4X4,"Rs. 21,51,000",1956 cc,60 litres,Diesel,,Manual
722,Jeep Compass 2.0 Limited (O) 4X4,"Rs. 21,99,000",1956 cc,60 litres,Diesel,,Manual
723,Jeep Compass 1.4 Limited Plus At Petrol,"Rs. 21,67,000",1368 cc,60 litres,Petrol,,Automatic
724,Jeep Compass 2.0 Limited Plus 4X2 Diesel,"Rs. 21,33,000",1956 cc,60 litres,Diesel,,Manual
725,Jeep Compass 2.0 Limited Plus 4X4 Diesel,"Rs. 23,11,000",1956 cc,60 litres,Diesel,,Manual
726,Jeep Compass 2.0 Sport Plus,"Rs. 16,99,000",1956 cc,60 litres,Diesel,,Manual
727,Jeep Compass 1.4 Sport Plus,"Rs. 15,99,000",1368 cc,60 litres,Petrol,,Manual
728,Jeep Compass 1.4 Longitude (O) At,"Rs. 19,00,000",1368 cc,60 litres,Petrol,,Automatic
729,Jeep Compass 1.4 Limited (O) At Petrol Black Pack,"Rs. 20,70,000",1368 cc,60 litres,Petrol,,Automatic
730,Jeep Compass 2.0 Limited (O) Black Pack,"Rs. 20,36,300",1956 cc,60 litres,Diesel,,Manual
731,Jeep Compass 2.0 Limited (O) 4X4 Black Pack,"Rs. 22,14,000",1956 cc,60 litres,Diesel,,Manual
732,Jeep Compass 2.0 Limited Plus 4X4 At,"Rs. 24,99,000",1956 cc,60 litres,Diesel,,Automatic
733,Jeep Compass 2.0 Longitude 4X4 At,"Rs. 21,96,000",1956 cc,60 litres,Diesel,,Automatic
734,Toyota Corolla Altis G Petrol,"Rs. 16,45,000",1798 cc,55 litres,Petrol,9.5 km/litre,Manual
735,Toyota Corolla Altis G At Petrol,"Rs. 18,06,000",1798 cc,55 litres,Petrol,9.5 km/litre,Automatic
736,Toyota Corolla Altis Gl Petrol,"Rs. 18,82,000",1798 cc,55 litres,Petrol,9.5 km/litre,Manual
737,Toyota Corolla Altis Gl Diesel,"Rs. 19,36,000",1364 cc,43 litres,Diesel,18.2 km/litre,Manual
738,Toyota Corolla Altis G Diesel,"Rs. 17,71,000",1364 cc,43 litres,Diesel,18.4 km/litre,Manual
739,Toyota Corolla Altis Vl At Petrol,"Rs. 20,19,000",1798 cc,55 litres,Petrol,9.5 km/litre,Automatic
740,Honda Civic 1.8 V Cvt,"Rs. 17,93,900",1799 cc,47 litres,Petrol,,Automatic
741,Honda Civic 1.8 Vx Cvt,"Rs. 19,44,900",1799 cc,47 litres,Petrol,,Automatic
742,Honda Civic 1.8 Zx Cvt,"Rs. 21,24,900",1799 cc,47 litres,Petrol,,Automatic
743,Honda Civic 1.6 Vx Mt,"Rs. 20,54,900",1597 cc,47 litres,Diesel,,Manual
